1. Time,2. q_1,3. q_2,4. q_3,5. q_4,6. q_5,7. q_6,8. q_7,9. O_T_EE_11,10. O_T_EE_21,11. O_T_EE_31,12. O_T_EE_41,13. O_T_EE_12,14. O_T_EE_22,15. O_T_EE_32,16. O_T_EE_42,17. O_T_EE_13,18. O_T_EE_23,19. O_T_EE_33,20. O_T_EE_43,21. O_T_EE_14,22. O_T_EE_24,23. O_T_EE_34,24. O_T_EE_44,25. q_1_d,26. q_2_d,27. q_3_d,28. q_4_d,29. q_5_d,30. q_6_d,31. q_7_d,32. dq_1,33. dq_2,34. dq_3,35. dq_4,36. dq_5,37. dq_6,38. dq_7,39. dq_1_d,40. dq_2_d,41. dq_3_d,42. dq_4_d,43. dq_5_d,44. dq_6_d,45. dq_7_d,46. tau_J_1,47. tau_J_2,48. tau_J_3,49. tau_J_4,50. tau_J_5,51. tau_J_6,52. tau_J_7,53. joint_contact_1,54. joint_contact_2,55. joint_contact_3,56. joint_contact_4,57. joint_contact_5,58. joint_contact_6,59. joint_contact_7,60. joint_collision_1,61. joint_collision_2,62. joint_collision_3,63. joint_collision_4,64. joint_collision_5,65. joint_collision_6,66. joint_collision_7,67. cartesian_contact_x,68. cartesian_contact_y,69. cartesian_contact_z,70. cartesian_contact_R,71. cartesian_contact_P,72. cartesian_contact_Y,73. cartesian_collision_x,74. cartesian_collision_y,75. cartesian_collision_z,76. cartesian_collision_R,77. cartesian_collision_P,78. cartesian_collision_Y,79. tau_ext_1,80. tau_ext_2,81. tau_ext_3,82. tau_ext_4,83. tau_ext_5,84. tau_ext_6,85. tau_ext_7,86. O_F_ext_x,87. O_F_ext_y,88. O_F_ext_z,89. O_F_ext_R,90. O_F_ext_P,91. O_F_ext_Y,92. Gripper Width,93. Object Grasped
28516.1,1.19828,0.32841,1.06268,-2.0558,-1.32419,0.958347,0.0122586,-0.0409707,-0.0370039,-0.998465,0,-0.0501921,0.998119,-0.0349315,0,0.997899,0.0486849,-0.0427517,0,-0.0687173,0.47642,0.385417,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,0.00140925,0.000438027,0.000768364,0.00150777,5.74354e-05,-0.000885353,-0.000876529,0,0,0,0,0,0,0,-0.351251,-23.3771,7.40871,19.3064,-1.4199,-1.31453,0.119434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.341176,-0.550187,0.0305728,1.34595,-0.0727129,-0.222721,0.115893,-1.41469,2.06965,1.69363,0.0678776,-0.176125,-0.261129,0.0798559,0
28516.2,1.19828,0.328413,1.06268,-2.0558,-1.32419,0.958348,0.0122642,-0.0409729,-0.0370008,-0.998465,0,-0.0501891,0.998119,-0.0349285,0,0.997899,0.0486819,-0.0427537,0,-0.0687156,0.476421,0.385416,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,-0.000193368,6.43845e-05,-0.00124952,4.47109e-05,0.000197197,-0.000488149,0.00161196,0,0,0,0,0,0,0,-0.315546,-23.4168,7.44441,19.3461,-1.4199,-1.3246,0.0690795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.326588,-0.55089,0.031467,1.34644,-0.0666156,-0.221606,0.112902,-1.45062,2.0745,1.69063,0.0620874,-0.192446,-0.251602,0.0798559,0
28516.2,1.19828,0.32841,1.06268,-2.0558,-1.32419,0.958351,0.0122674,-0.0409736,-0.0369901,-0.998466,0,-0.0502003,0.998119,-0.0349172,0,0.997898,0.0486935,-0.0427543,0,-0.0687195,0.476421,0.385418,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,0.000629342,6.93924e-05,0.000388895,0.000225919,-0.00107201,0.000453349,0.00341045,0,0,0,0,0,0,0,-0.351251,-23.3771,7.36903,19.3064,-1.38419,-1.34474,0.0397827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.311172,-0.542918,0.0280299,1.33796,-0.0612847,-0.219161,0.115145,-1.49096,2.08315,1.64871,0.0418308,-0.219621,-0.241576,0.0798559,0
28516.2,1.19828,0.32841,1.06268,-2.05581,-1.32419,0.958347,0.0122619,-0.0409688,-0.0370022,-0.998465,0,-0.0501907,0.998119,-0.03493,0,0.997899,0.0486836,-0.0427497,0,-0.0687158,0.47642,0.385416,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,0.000273552,0.000327788,-0.000915229,-0.000595394,-3.99246e-06,0.000636313,0.000822949,0,0,0,0,0,0,0,-0.315546,-23.3771,7.40871,19.3818,-1.4199,-1.34474,0.0892211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.316406,-0.539084,0.0151217,1.34177,-0.0596453,-0.21544,0.114184,-1.48708,2.1104,1.64033,0.0266114,-0.218071,-0.250146,0.0798559,0
28516.3,1.19829,0.32841,1.06268,-2.0558,-1.32419,0.958344,0.0122619,-0.0409687,-0.0370018,-0.998465,0,-0.050196,0.998119,-0.0349293,0,0.997899,0.0486889,-0.0427497,0,-0.0687194,0.476419,0.385417,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,0.0015333,0.000786203,0.000413709,7.65633e-05,0.000230648,-0.000391331,0.000323091,0,0,0,0,0,0,0,-0.386957,-23.3771,7.36903,19.3461,-1.4199,-1.31453,0.0892211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.319706,-0.527275,0.00379725,1.34748,-0.0590098,-0.212873,0.113867,-1.51636,2.17132,1.61184,-0.0109019,-0.236887,-0.255019,0.0798559,0
28516.3,1.19828,0.328408,1.06268,-2.0558,-1.32418,0.958346,0.0122597,-0.040971,-0.0370007,-0.998465,0,-0.0501931,0.998119,-0.0349282,0,0.997899,0.048686,-0.0427519,0,-0.0687182,0.476419,0.385418,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,0.000814261,-0.000309009,-0.000444915,0.00173308,0.000392865,0.000555089,0.00108374,0,0,0,0,0,0,0,-0.351251,-23.3414,7.36903,19.3064,-1.42905,-1.33467,0.109363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.321837,-0.522364,-0.0039293,1.35363,-0.0612954,-0.210503,0.118804,-1.53535,2.21206,1.58786,-0.0331277,-0.249875,-0.258374,0.0798559,0
28516.3,1.19829,0.328408,1.06269,-2.05581,-1.32418,0.958345,0.0122597,-0.0409685,-0.0370052,-0.998465,0,-0.0502006,0.998118,-0.0349326,0,0.997898,0.0486933,-0.0427499,0,-0.0687212,0.476418,0.385417,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,0.00105159,0.000212674,0.000828366,0.000223742,0.000691374,0.000111398,-0.000524685,0,0,0,0,0,0,0,-0.386957,-23.3414,7.29762,19.3818,-1.43821,-1.3246,0.109363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.335132,-0.505805,-0.031782,1.35504,-0.0628336,-0.208968,0.119455,-1.5472,2.29211,1.54005,-0.0857862,-0.269196,-0.275123,0.0798553,0
28516.4,1.19828,0.328405,1.06269,-2.05581,-1.32418,0.958349,0.0122575,-0.0409727,-0.0370024,-0.998465,0,-0.0502,0.998119,-0.0349295,0,0.997898,0.0486928,-0.0427539,0,-0.0687206,0.476419,0.385419,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,-0.00128196,-0.00101466,0.00158357,0.000117078,0.000333536,0.000350482,-0.00157623,0,0,0,0,0,0,0,-0.315546,-23.3017,7.25795,19.3818,-1.43821,-1.33467,0.129504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.345402,-0.508716,-0.0465224,1.37935,-0.0682342,-0.207518,0.114428,-1.56407,2.37988,1.5647,-0.113194,-0.274093,-0.287874,0.0798553,0
28516.4,1.19829,0.328405,1.06269,-2.05581,-1.32419,0.95835,0.0122597,-0.04097,-0.0370032,-0.998465,0,-0.0502131,0.998118,-0.0349299,0,0.997898,0.0487059,-0.0427518,0,-0.068725,0.476417,0.385418,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,-0.00171818,-0.000979949,0.000112553,-0.000866155,-0.000292196,-0.000224111,-0.000617891,0,0,0,0,0,0,0,-0.386957,-23.3017,7.22225,19.4215,-1.4199,-1.34474,0.109363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.382484,-0.508025,-0.0869395,1.37774,-0.0743323,-0.211121,0.112741,-1.4786,2.40751,1.56662,-0.124007,-0.243591,-0.327561,0.0798559,0
28516.4,1.19829,0.328405,1.0627,-2.05581,-1.32419,0.958353,0.0122586,-0.040975,-0.0370006,-0.998465,0,-0.0502222,0.998118,-0.0349267,0,0.997897,0.0487149,-0.0427569,0,-0.0687296,0.476418,0.385419,1,1.19823,0.328401,1.06269,-2.0556,-1.32419,0.958258,0.0122597,-0.00020029,-0.000686327,-0.000858253,4.18278e-05,-0.000181752,0.000461563,-0.00127813,0,0,0,0,0,0,0,-0.498041,-23.3017,7.22225,19.3461,-1.4199,-1.37404,0.119434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.434833,-0.508831,-0.141506,1.3632,-0.0703006,-0.223632,0.114747,-1.34762,2.3717,1.55974,-0.110835,-0.193779,-0.383106,0.0798559,0
